Enrollment_ID,Student_ID,Course_ID,First_semester,Grade
89LAJ,6C666,JJZX4,Fall 2021,A
K3W7T,ARCW3,WNRDJ,Fall 2022,D
DPLII,QE7Y4,WCABT,Spring 2021,D
XERHR,PIPWC,VULO7,Spring 2022,F
YQB5Z,IIU14,2OWVA,Fall 2020,F
ZCKMP,6SX7M,4QPMG,Spring 2023,A
ODVHD,V4J2C,M6F0D,Spring 2022,B
AVFYK,R2O8V,WNRDJ,Fall 2022,F
E42CY,6F7QQ,PWE9T,Fall 2022,B
0AW5J,TKGF7,UXAW6,Spring 2021,D
C68RX,ZLVEE,M6F0D,Spring 2021,F
6XA4J,AMPZJ,UXAW6,Fall 2021,F
KUH59,IIU14,WBWPP,Spring 2021,F
ZA5GJ,BS0BY,TC1IL,Spring 2023,F
VUE2P,7IN6B,1XYJS,Fall 2021,A
08AX8,R2O8V,JZ4IG,Fall 2020,B
DZL98,SD74O,E89S8,Spring 2021,C
XM610,ARCW3,GXFKI,Fall 2021,F
RDFEE,QE7Y4,JLM1K,Fall 2022,C
IXBFQ,2KITZ,063S9,Fall 2020,B
D1BFT,SV23B,OVNCR,Spring 2021,C
WK72M,2UH7W,0BF6M,Spring 2023,C
51X9B,E6STQ,ZTEEQ,Fall 2021,A
6S3VM,QWILK,IO097,Fall 2020,F
AVZCR,0LD46,WBI74,Fall 2022,A
YMDW4,5HXT1,WIMZY,Spring 2022,F
VIDGX,5XZFL,JLM1K,Spring 2021,B
FLOQY,NZ0FE,M24VK,Spring 2022,C
2GCJ7,CIU5J,B1D0X,Spring 2023,B
7MS0K,JHDM9,TXPC2,Fall 2021,B
P3BA5,JB4BB,HNU9L,Spring 2021,F
LLF0K,MTDJO,1GD2D,Fall 2022,F
Z7EFN,MTDJO,1EKBM,Fall 2021,D
M2LCI,6PVGZ,Y6UO5,Fall 2022,F
NS831,9MPOK,MJVO2,Spring 2022,D
WNZP9,U2XTJ,JZ4IG,Fall 2022,D
57A62,6PVGZ,HNU9L,Spring 2022,D
CZJTU,ZZZ8L,N18K0,Fall 2022,F
AF8IX,9O3RS,E5TPT,Fall 2021,B
NHME6,JB4BB,JZ4IG,Fall 2022,A
BONZ5,A0PY6,NT7MJ,Fall 2021,B
E06O2,2DBFW,WBWPP,Fall 2020,C
G8VE3,SY0EB,KJ2GX,Fall 2021,C
RAZEZ,4GZV3,JLM1K,Spring 2021,A
BYB6X,C15ED,1GBT1,Fall 2020,A
UDGEH,EBTGY,AXTO8,Fall 2020,F
WJ2E8,E86BT,JJZX4,Spring 2023,A
PL8KY,NK4BP,PWE9T,Spring 2021,F
E6JXM,IRM1E,WNRDJ,Spring 2023,A
7IGQ2,UTJLX,RQ83L,Fall 2022,A
4I51T,E6VY3,HCI2B,Fall 2020,D
SE5PA,ZKUPD,WNRDJ,Spring 2021,D
JYOO7,UTJLX,2OWVA,Spring 2021,B
OAIL7,75Q9U,VULO7,Spring 2021,B
7HS6L,SV23B,ZTEEQ,Spring 2022,C
SX9HU,FLMMH,JJZX4,Spring 2023,B
VV89L,S30UG,GXFKI,Spring 2023,C
AWOKM,S30UG,HRGGG,Spring 2022,F
2ZU78,XJNBW,M24VK,Spring 2021,A
JOFFD,MTDJO,MJVO2,Spring 2021,B
0IAZY,Q3TBZ,J16XD,Spring 2022,C
N2HAL,QWILK,0BF6M,Spring 2023,F
3016N,XS7LB,BMYVM,Spring 2021,D
FVQ5Q,SVPXA,HRGGG,Fall 2021,A
I1B79,LD7PN,E5TPT,Spring 2021,B
ZKH5S,KLB40,TC1IL,Spring 2023,D
CGF5Z,SV23B,HCI2B,Fall 2022,B
D2FHD,HPN6I,BMYVM,Spring 2022,C
5S409,JGZI7,VULO7,Fall 2021,B
40K04,XW99H,2OWVA,Fall 2020,C
ORS91,KLB40,WBI74,Fall 2020,C
HA0H8,ICGJ3,E89S8,Fall 2022,A
3ZIKA,80GZL,WBWPP,Spring 2023,D
HKOXC,QWILK,1GD2D,Spring 2022,B
Q576F,V4J2C,VULO7,Fall 2020,F
S6KRU,XBW4K,UXAW6,Fall 2020,C
74HNM,SV23B,NT7MJ,Spring 2022,D
WMFRO,9MPOK,PWE9T,Spring 2022,C
VL80F,IRM1E,1XYJS,Fall 2022,B
NGP9G,JB4BB,M24VK,Fall 2021,B
OLY6R,UYR6W,P7XUJ,Spring 2022,F
SHH2I,TNGWT,1EKBM,Fall 2021,C
4BVR3,A0BZC,E5TPT,Fall 2020,D
SZPLH,S30UG,JLM1K,Spring 2023,F
GYO8D,XS7LB,E5TPT,Spring 2021,C
J6AQH,TKGF7,3H388,Fall 2022,A
6YE73,A0PY6,1XYJS,Fall 2022,D
M2A92,6F7QQ,TXPC2,Spring 2022,C
606KF,U2XTJ,B1D0X,Spring 2023,F
6952C,2UH7W,NT7MJ,Spring 2021,C
J8RJU,AMPZJ,ZTEEQ,Spring 2022,C
CW6JP,Y3GJ0,KJ2GX,Fall 2020,F
DG57Q,V6XIA,Y6UO5,Spring 2021,A
JU2P8,VNR8C,JJZX4,Fall 2021,B
V9NJI,TKGF7,YOPCH,Fall 2020,D
USOK6,NK4BP,4QPMG,Spring 2023,A
7E5JD,EBTGY,HRGGG,Fall 2020,F
TXPVJ,IIU14,4QPMG,Spring 2023,A
COJJM,A0PY6,1XYJS,Fall 2021,C
H5ML0,M2L70,WBWPP,Spring 2023,D
B5J20,80GZL,ZTEEQ,Spring 2022,B
